LevelID,Total Number of Colors,Total Shape Count,Total Wheel Segments,Spin Speed,Answer Time Limit (Sec),Wheel Bar Reversal,Color and Shape Change Frequency (min number of operations),Color and Shape Change Frequency (max number of operations),Level Up Criteria,Level Down Criteria,Combo Score,Points per Question,Penalty Points
1,4,2,4,"1,0","10,0",0,5,10,5,2,1,100,50
2,4,2,4,"1,0","9,7",0,5,10,5,2,1,100,50
3,4,2,4,"1,1","9,4",0,5,10,5,2,1,100,50
4,6,4,5,"1,1","9,1",0,5,10,5,2,1,100,50
5,6,4,5,"1,1","8,9",0,5,10,5,2,1,100,50
6,6,4,5,"1,2","8,6",0,5,10,5,2,1,100,50
7,6,4,6,"1,2","8,3",1,5,10,5,2,1,100,50
8,6,4,6,"1,2","8,1",1,5,10,5,2,1,100,50
9,6,4,6,"1,3","7,8",1,5,10,5,2,1,100,50
10,6,4,8,"1,3","7,6",1,5,10,5,2,1,100,50
11,6,4,8,"1,3","7,4",1,5,10,5,2,1,100,50
12,8,4,8,"1,4","7,2",1,5,10,5,2,1,100,50
13,8,4,9,"1,4","6,9",1,5,10,5,2,1,100,50
14,8,4,9,"1,5","6,7",1,5,10,5,2,1,100,50
15,8,4,9,"1,5","6,5",1,5,10,5,2,1,100,50
16,8,6,10,"1,6","6,3",1,5,10,5,2,1,100,50
17,8,6,10,"1,6","6,1",1,5,10,5,2,1,100,50
18,8,6,10,"1,7","6,0",1,5,10,5,2,1,100,50
19,10,6,12,"1,7","5,8",1,5,10,5,2,1,100,50
20,10,6,12,"1,8","5,6",1,5,10,5,2,1,100,50
21,10,6,12,"1,8","5,4",1,5,10,5,2,1,100,50
22,10,6,12,"1,9","5,3",1,5,10,5,2,1,100,50
23,10,6,12,"1,9","5,1",1,5,10,5,2,1,100,50
24,10,6,12,"2,0","5,0",1,5,10,5,2,1,100,50
25,10,6,12,"2,0","4,8",1,5,10,5,2,1,100,50
26,10,6,12,"2,1","4,7",1,5,10,5,2,1,100,50
27,10,6,12,"2,2","4,5",1,5,10,5,2,1,100,50
28,10,6,12,"2,2","4,4",1,5,10,5,2,1,100,50
29,10,6,12,"2,3","4,3",1,5,10,5,2,1,100,50
30,10,6,12,"2,4","4,1",1,5,10,5,2,1,100,50
31,10,6,12,"2,4","4,0",1,5,10,5,2,1,100,50
32,10,6,12,"2,5","3,9",1,5,10,5,2,1,100,50
33,10,6,12,"2,6","3,8",1,5,10,5,2,1,100,50
34,10,6,12,"2,7","3,7",1,5,10,5,2,1,100,50
35,10,6,12,"2,7","3,6",1,5,10,5,2,1,100,50
36,10,6,12,"2,8","3,4",1,5,10,5,2,1,100,50
37,10,6,12,"2,9","3,3",1,5,10,5,2,1,100,50
38,10,6,12,"3,0","3,2",1,5,10,5,2,1,100,50
39,10,6,12,"3,1","3,1",1,5,10,5,2,1,100,50
40,10,6,12,"3,2","3,0",1,5,10,5,2,1,100,50
41,10,6,12,"3,3","3,0",1,5,10,5,2,1,100,50
42,10,6,12,"3,4","2,9",1,5,10,5,2,1,100,50
43,10,6,12,"3,5","2,8",1,5,10,5,2,1,100,50
44,10,6,12,"3,6","2,7",1,5,10,5,2,1,100,50
45,10,6,12,"3,7","2,6",1,5,10,5,2,1,100,50
46,10,6,12,"3,8","2,5",1,5,10,5,2,1,100,50
47,10,6,12,"3,9","2,5",1,5,10,5,2,1,100,50
48,10,6,12,"4,0","2,4",1,5,10,5,2,1,100,50
49,10,6,12,"4,1","2,3",1,5,10,5,2,1,100,50
50,10,6,12,"4,3","2,2",1,5,10,5,2,1,100,50
